form	lemmaId	lemma	linkType	pos	via	note
aa	aa.a	aa-	self	a.	aa-	
yn nah	nah.n	nah	self	s. f.	yn nah	demutation-unvalidated
ynnah	nah.n	nah	self	s. f.	yn nah	collapsed
ynnah	nah.n	nah	univerbated	s. f.	yn nah	
nah	nah.n	nah	particle	s. f.	yn nah	demutation-unvalidated
aa aase	aa-aase.n	aa-aase	self	s. m.	aa-aase	
aaaase	aa-aase.n	aa-aase	self	s. m.	aa-aase	collapsed
aaaase	aa-aase.n	aaaase	univerbated	s. m.	aa-aase	
aa aase	aa-aase.v	aa-aase	self	v.	aa-aase	
aaaase	aa-aase.v	aa-aase	self	v.	aa-aase	collapsed
aaaase	aa-aase.v	aaaase	univerbated	v.	aa-aase	
aa chionnagh	aa-chionnagh.v	aa-chionnagh	self	v.	aa-chionnagh	
aachionnagh	aa-chionnagh.v	aa-chionnagh	self	v.	aa-chionnagh	collapsed
aachionnagh	aa-chionnagh.v	aachionnagh	univerbated	v.	aa-chionnagh	
aa chionnit	aa-chionnit.x	aa-chionnit	self	pt.	aa-chionnit	
aachionnit	aa-chionnit.x	aa-chionnit	self	pt.	aa-chionnit	collapsed
aachionnit	aa-chionnit.x	aachionnit	univerbated	pt.	aa-chionnit	
aa chlashtyn	aa-chlashtyn.n	aa-chlashtyn	self	s. m.	aa-chlashtyn	
aachlashtyn	aa-chlashtyn.n	aa-chlashtyn	self	s. m.	aa-chlashtyn	collapsed
aachlashtyn	aa-chlashtyn.n	aachlashtyn	univerbated	s. m.	aa-chlashtyn	
aa chluinnit	aa-chluinnit.x	aa-chluinnit	self	pt.	aa-chluinnit	
aachluinnit	aa-chluinnit.x	aa-chluinnit	self	pt.	aa-chluinnit	collapsed
aachluinnit	aa-chluinnit.x	aachluinnit	univerbated	pt.	aa-chluinnit	
aa chooinaghtyn	aa-chooinaghtyn.n	aa-chooinaghtyn	self	s. m.	aa-chooinaghtyn	
aachooinaghtyn	aa-chooinaghtyn.n	aa-chooinaghtyn	self	s. m.	aa-chooinaghtyn	collapsed
aachooinaghtyn	aa-chooinaghtyn.n	aachooinaghtyn	univerbated	s. m.	aa-chooinaghtyn	
aa chummit	aa-chummit.x	aa-chummit	self	pt.	aa-chummit	
aachummit	aa-chummit.x	aa-chummit	self	pt.	aa-chummit	collapsed
aachummit	aa-chummit.x	aachummit	univerbated	pt.	aa-chummit	
aa eaddagh	aa-eaddagh.n	aa-eaddagh	self	s. m.	aa-eaddagh	
aaeaddagh	aa-eaddagh.n	aa-eaddagh	self	s. m.	aa-eaddagh	collapsed
aaeaddagh	aa-eaddagh.n	aaeaddagh	univerbated	s. m.	aa-eaddagh	
aa gherrit	aa-gherrit.x	aa-gherrit	self		aa-gherrit	
aagherrit	aa-gherrit.x	aa-gherrit	self		aa-gherrit	collapsed
aagherrit	aa-gherrit.x	aagherrit	univerbated		aa-gherrit	
aa gherrityn	aa-gherrit.x	aa-gherrit	inflected		aa-gherrit	
aagherrityn	aa-gherrit.x	aa-gherrit	inflected		aa-gherrit	collapsed
aagherrityn	aa-gherrit.x	aagherrit	univerbated		aa-gherrit	
aagherrid	aa-gherrit.x	aa-gherrit	variant		aagherrid	
aagherridyn	aa-gherrit.x	aa-gherrit	inflected		aagherrid	
aa ghiennaghtyn	aa-ghiennaghtyn.n	aa-ghiennaghtyn	self	s. m.	aa-ghiennaghtyn	
aaghiennaghtyn	aa-ghiennaghtyn.n	aa-ghiennaghtyn	self	s. m.	aa-ghiennaghtyn	collapsed
aaghiennaghtyn	aa-ghiennaghtyn.n	aaghiennaghtyn	univerbated	s. m.	aa-ghiennaghtyn	
aa hilley	aa-hilley.n	aa-hilley	self	s. m.	aa-hilley	
aahilley	aa-hilley.n	aa-hilley	self	s. m.	aa-hilley	collapsed
aahilley	aa-hilley.n	aahilley	univerbated	s. m.	aa-hilley	
aa hroggal	aa-hroggal.v	aa-hroggal	self	v.	aa-hroggal	
aahroggal	aa-hroggal.v	aa-hroggal	self	v.	aa-hroggal	collapsed
aahroggal	aa-hroggal.v	aahroggal	univerbated	v.	aa-hroggal	
aa lhieeney	aa-lhieeney.n	aa-lhieeney	self	s. m.	aa-lhieeney	
aalhieeney	aa-lhieeney.n	aa-lhieeney	self	s. m.	aa-lhieeney	collapsed
aalhieeney	aa-lhieeney.n	aalhieeney	univerbated	s. m.	aa-lhieeney	
aa lhieeney	aa-lhieeney.v	aa-lhieeney	self	v.	aa-lhieeney	
aalhieeney	aa-lhieeney.v	aa-lhieeney	self	v.	aa-lhieeney	collapsed
aalhieeney	aa-lhieeney.v	aalhieeney	univerbated	v.	aa-lhieeney	
aa oe	aa-oe.n	aa-oe	self	s. m.	aa-oe	
aaoe	aa-oe.n	aa-oe	self	s. m.	aa-oe	collapsed
aaoe	aa-oe.n	aaoe	univerbated	s. m.	aa-oe	
aa smooinaght	aa-smooinaght.n	aa-smooinaght	self	s. m.	aa-smooinaght	
aasmooinaght	aa-smooinaght.n	aa-smooinaght	self	s. m.	aa-smooinaght	collapsed
aasmooinaght	aa-smooinaght.n	aasmooinaght	univerbated	s. m.	aa-smooinaght	
aa vaair	aa-vaair.n	aa-vaair	self	s. m.	aa-vaair	
aavaair	aa-vaair.n	aa-vaair	self	s. m.	aa-vaair	collapsed
aavaair	aa-vaair.n	aavaair	univerbated	s. m.	aa-vaair	
aa vaair	aa-vaair.v	aa-vaair	self	v.	aa-vaair	
aavaair	aa-vaair.v	aa-vaair	self	v.	aa-vaair	collapsed
aavaair	aa-vaair.v	aavaair	univerbated	v.	aa-vaair	
aa vioghee	aa-vaair.n	aa-vaair	variant	s. m.	aa-vioghee	
aavioghee	aa-vaair.n	aa-vaair	variant	s. m.	aa-vioghee	collapsed
aavioghee	aa-vaair.n	aavaair	univerbated	s. m.	aa-vioghee	
dy aa vioghey	aa-vioghey.v	aa-vioghey	self	v.	dy aa-vioghey	
dyaavioghey	aa-vioghey.v	aa-vioghey	self	v.	dy aa-vioghey	collapsed
dyaavioghey	aa-vioghey.v	aavioghey	univerbated	v.	dy aa-vioghey	
aa vioghey	aa-vioghey.v	aa-vioghey	particle	v.	dy aa-vioghey	
aavioghey	aa-vioghey.v	aa-vioghey	particle	v.	dy aa-vioghey	collapsed
aavioghey	aa-vioghey.v	aavioghey	univerbated	v.	dy aa-vioghey	
aadjin	aadjin.n	aadjin	self	s. m.	aadjin	
aaitchin	aadjin.n	aadjin	variant	s. m.	aaitçhin	
aaitn	aaitn.v	aaitn	self	v.	aaitn	
aaitnagh	aaitn.v	aaitn	inflected	v.	aaitn	
aaitnee	aaitn.v	aaitn	inflected	v.	aaitn	
aaitney	aaitn.v	aaitn	inflected	v.	aaitn	
aaitnin	aaitn.v	aaitn	inflected	v.	aaitn	
aaitnins	aaitn.v	aaitn	inflected	v.	aaitn	
aaitnym	aaitn.v	aaitn	inflected	v.	aaitn	
aaitnyms	aaitn.v	aaitn	inflected	v.	aaitn	
aaitnys	aaitn.v	aaitn	inflected	v.	aaitn	
cha n'aaitn	n'aaitn.v	n'aaitn	self	v.	cha n'aaitn	demutation-unvalidated
chan'aaitn	n'aaitn.v	n'aaitn	self	v.	cha n'aaitn	collapsed
chan'aaitn	n'aaitn.v	n'aaitn	univerbated	v.	cha n'aaitn	
n'aaitn	n'aaitn.v	n'aaitn	particle	v.	cha n'aaitn	demutation-unvalidated
aaitn	n'aaitn.v	n'aaitn	mutation	v.	cha n'aaitn	demutation-unvalidated
cha n'aaitnagh	n'aaitn.v	n'aaitn	inflected	v.	cha n'aaitn	demutation-unvalidated
chan'aaitnagh	n'aaitn.v	n'aaitn	inflected	v.	cha n'aaitn	collapsed
chan'aaitnagh	n'aaitn.v	n'aaitn	univerbated	v.	cha n'aaitn	
n'aaitnagh	n'aaitn.v	n'aaitn	inflected	v.	cha n'aaitn	demutation-unvalidated
aaitnagh	n'aaitn.v	n'aaitn	inflected	v.	cha n'aaitn	demutation-unvalidated
cha n'aaitnin	n'aaitn.v	n'aaitn	inflected	v.	cha n'aaitn	demutation-unvalidated
chan'aaitnin	n'aaitn.v	n'aaitn	inflected	v.	cha n'aaitn	collapsed
chan'aaitnin	n'aaitn.v	n'aaitn	univerbated	v.	cha n'aaitn	
n'aaitnin	n'aaitn.v	n'aaitn	inflected	v.	cha n'aaitn	demutation-unvalidated
aaitnin	n'aaitn.v	n'aaitn	inflected	v.	cha n'aaitn	demutation-unvalidated
cha n'aaitnins	n'aaitn.v	n'aaitn	inflected	v.	cha n'aaitn	demutation-unvalidated
chan'aaitnins	n'aaitn.v	n'aaitn	inflected	v.	cha n'aaitn	collapsed
chan'aaitnins	n'aaitn.v	n'aaitn	univerbated	v.	cha n'aaitn	
n'aaitnins	n'aaitn.v	n'aaitn	inflected	v.	cha n'aaitn	demutation-unvalidated
aaitnins	n'aaitn.v	n'aaitn	inflected	v.	cha n'aaitn	demutation-unvalidated
cha n'aaitnym	n'aaitn.v	n'aaitn	inflected	v.	cha n'aaitn	demutation-unvalidated
chan'aaitnym	n'aaitn.v	n'aaitn	inflected	v.	cha n'aaitn	collapsed
chan'aaitnym	n'aaitn.v	n'aaitn	univerbated	v.	cha n'aaitn	
n'aaitnym	n'aaitn.v	n'aaitn	inflected	v.	cha n'aaitn	demutation-unvalidated
aaitnym	n'aaitn.v	n'aaitn	inflected	v.	cha n'aaitn	demutation-unvalidated
cha n'aaitnyms	n'aaitn.v	n'aaitn	inflected	v.	cha n'aaitn	demutation-unvalidated
chan'aaitnyms	n'aaitn.v	n'aaitn	inflected	v.	cha n'aaitn	collapsed
chan'aaitnyms	n'aaitn.v	n'aaitn	univerbated	v.	cha n'aaitn	
n'aaitnyms	n'aaitn.v	n'aaitn	inflected	v.	cha n'aaitn	demutation-unvalidated
aaitnyms	n'aaitn.v	n'aaitn	inflected	v.	cha n'aaitn	demutation-unvalidated
cha n'aaitnee	n'aaitn.v	n'aaitn	variant	v.	cha n'aaitnee	demutation-unvalidated
chan'aaitnee	n'aaitn.v	n'aaitn	variant	v.	cha n'aaitnee	collapsed
chan'aaitnee	n'aaitn.v	n'aaitn	univerbated	v.	cha n'aaitnee	
n'aaitnee	n'aaitn.v	n'aaitn	particle	v.	cha n'aaitnee	demutation-unvalidated
